logged_at_utc,ts,device_id,temperature_c,humidity_percent,noise_db,position
2025-11-18T03:25:13Z,2025-11-18T03:25:13Z,safesleep-dev-01,18.1,57.7,54.3,prono
2025-11-18T03:25:16Z,2025-11-18T03:25:16Z,safesleep-dev-01,29.9,32.3,42.5,supino
2025-11-18T03:25:19Z,2025-11-18T03:25:19Z,safesleep-dev-01,22.3,30.7,45.6,supino
2025-11-18T03:25:22Z,2025-11-18T03:25:22Z,safesleep-dev-01,19.8,40.0,45.4,supino
2025-11-18T03:25:25Z,2025-11-18T03:25:25Z,safesleep-dev-01,25.6,45.3,51.3,supino
2025-11-18T03:25:28Z,2025-11-18T03:25:28Z,safesleep-dev-01,18.7,58.4,60.2,supino
2025-11-18T03:25:31Z,2025-11-18T03:25:31Z,safesleep-dev-01,27.1,38.2,66.5,lateral
2025-11-18T03:25:34Z,2025-11-18T03:25:34Z,safesleep-dev-01,21.4,51.2,75.5,supino
2025-11-18T03:25:37Z,2025-11-18T03:25:37Z,safesleep-dev-01,20.5,63.6,59.3,supino
2025-11-18T03:25:40Z,2025-11-18T03:25:40Z,safesleep-dev-01,28.3,46.3,36.3,supino
2025-11-18T03:25:43Z,2025-11-18T03:25:43Z,safesleep-dev-01,28.4,54.8,35.3,supino
2025-11-18T03:25:46Z,2025-11-18T03:25:46Z,safesleep-dev-01,25.0,64.9,22.0,lateral
2025-11-18T03:25:49Z,2025-11-18T03:25:49Z,safesleep-dev-01,29.2,38.9,88.0,lateral
2025-11-18T03:25:52Z,2025-11-18T03:25:52Z,safesleep-dev-01,18.2,45.8,71.8,prono
2025-11-18T03:25:55Z,2025-11-18T03:25:55Z,safesleep-dev-01,19.0,31.6,73.5,supino
2025-11-18T03:25:58Z,2025-11-18T03:25:58Z,safesleep-dev-01,27.0,44.0,75.9,lateral
2025-11-18T03:27:03Z,2025-11-18T03:27:03Z,safesleep-dev-01,19.8,43.3,69.2,lateral
2025-11-18T03:27:06Z,2025-11-18T03:27:06Z,safesleep-dev-01,22.6,47.8,43.4,supino
2025-11-18T03:27:09Z,2025-11-18T03:27:09Z,safesleep-dev-01,18.5,46.6,20.5,supino
2025-11-18T03:27:12Z,2025-11-18T03:27:12Z,safesleep-dev-01,25.1,55.7,58.4,supino
